mat_path,label,label_name,start,end,split
train:0:e4266c32ed004b3321a8e17c6ae215ad,1,hammer_illegal_tapping,0,2500,train
train:1:17c0193a31176166ae513b7911e90521,1,hammer_illegal_tapping,0,2500,train
train:2:2d744686af9fdf11e29c0b602877ae49,1,hammer_illegal_tapping,0,2500,train
train:3:ef376eeb78dfdb2b274b3f8d040f1f28,2,vehicle_passage,0,2500,train
train:4:f687d77a1be10ac41af411f4c8131f36,1,hammer_illegal_tapping,0,2500,train
train:5:a61d3a4e7af05fc817f494a740884283,0,noise_background,0,2500,train
train:6:6d92e85f47403ffee02c0de86869d893,0,noise_background,0,2500,train
train:7:9e2861765dfa8cd1aa33cbd63c296dcc,1,hammer_illegal_tapping,0,2500,train
train:8:60d54fdb9abe74017291ff06a1ccadf1,0,noise_background,0,2500,train
train:9:b386a2680e64099c1998115e872a1bbe,0,noise_background,0,2500,train
train:10:d15cc95fe78aadca9956981a1ea31b36,1,hammer_illegal_tapping,0,2500,train
train:11:99a6f6f293f83805fa5cb76d39fbdd24,0,noise_background,0,2500,train
train:12:82a4d9a1a3935f4019d47797889fcb25,0,noise_background,0,2500,train
train:13:5ffcbf55be0e9f6a73b24b626ef5e998,2,vehicle_passage,0,2500,train
train:14:3253fb92a502ca7e2a3cd2cb6a30cc62,0,noise_background,0,2500,train
train:15:b6cbe3e7f31ddae2745581afd8985b84,1,hammer_illegal_tapping,0,2500,train
train:16:e4514552c2ff362d26d5e0918be92a46,1,hammer_illegal_tapping,0,2500,train
train:17:9b037acd7b9376eb9021815309796237,1,hammer_illegal_tapping,0,2500,train
train:18:4cda4e0eada29643a91e0e2f6f8b1e2c,1,hammer_illegal_tapping,0,2500,train
train:19:89ab391c8b2e3631afd1581e10e42fca,1,hammer_illegal_tapping,0,2500,train
train:20:36ea0456191fbcc88967a13ff85e551a,1,hammer_illegal_tapping,0,2500,train
train:21:fe7b9e70e38cf865f6d4cd02e23e452d,0,noise_background,0,2500,train
train:22:80704aef320c7af80ea77ab63029cb4b,1,hammer_illegal_tapping,0,2500,train
train:23:50112f144af56dc2f356b9a8453960f6,0,noise_background,0,2500,train
train:24:ef5b71ed2189c0feeced8ac4cc9d7bab,1,hammer_illegal_tapping,0,2500,train
train:25:009e2861fe495659957f170fa1fadbc3,0,noise_background,0,2500,train
train:26:e84c7bbf6add96c83b6f8e1ebb0298bd,1,hammer_illegal_tapping,0,2500,train
train:27:2bc8a52b2c39db8181dd0958e3bdff2c,1,hammer_illegal_tapping,0,2500,train
train:28:edf9ecf45291de0f23dc0e7e14d1bcb3,2,vehicle_passage,0,2500,train
train:29:79d74ffbdd84b9eef32b384d44def510,1,hammer_illegal_tapping,0,2500,train
